131;ALEXANDER KRISTOFF;UNO-X MOBILITY;89h 18' 38'';+ 05h 39' 42''
132;SANDY DUJARDIN;TOTALENERGIES;89h 19' 54'';+ 05h 40' 58''
133;SØREN WÆRENSKJOLD;UNO-X MOBILITY;89h 25' 20'';+ 05h 46' 24''
134;ROBBE GHYS;ALPECIN-DECEUNINCK;89h 34' 10'';+ 05h 55' 14''
135;DYLAN GROENEWEGEN;TEAM JAYCO ALULA;89h 36' 37'';+ 05h 57' 41''
136;DANIEL MCLAY;ARKEA-B&B HOTELS;89h 37' 04'';+ 05h 58' 08''
137;LUCA MOZZATO;ARKEA-B&B HOTELS;89h 38' 32'';+ 05h 59' 36''
138;CEES BOL;ASTANA QAZAQSTAN TEAM;89h 47' 07'';+ 06h 08' 11''
139;JARRAD ERIKS DRIZNERS;LOTTO DSTNY;89h 51' 17'';+ 06h 12' 21''
140;DAVIDE BALLERINI;ASTANA QAZAQSTAN TEAM;90h 01' 42'';+ 06h 22' 46''
141;MARK CAVENDISH;ASTANA QAZAQSTAN TEAM;90h 02' 07'';+ 06h 23' 11''
